mode: set
csvproject/handlers/progress.go:13.61,17.2 3 0
csvproject/handlers/table.go:26.56,29.16 2 0
csvproject/handlers/table.go:29.16,33.3 3 0
csvproject/handlers/table.go:34.2,46.16 10 0
csvproject/handlers/table.go:46.16,48.3 1 0
csvproject/handlers/table.go:50.2,51.32 2 0
csvproject/handlers/table.go:51.32,53.3 1 0
csvproject/handlers/table.go:55.2,60.22 4 0
csvproject/handlers/table.go:60.22,62.3 1 0
csvproject/handlers/table.go:63.2,63.22 1 0
csvproject/handlers/table.go:63.22,65.3 1 0
csvproject/handlers/table.go:66.2,66.17 1 0
csvproject/handlers/table.go:66.17,68.3 1 0
csvproject/handlers/table.go:69.2,69.14 1 0
csvproject/handlers/table.go:69.14,71.3 1 0
csvproject/handlers/table.go:72.2,72.18 1 0
csvproject/handlers/table.go:72.18,74.3 1 0
csvproject/handlers/table.go:75.2,75.90 1 0
csvproject/handlers/table.go:75.90,76.48 1 0
csvproject/handlers/table.go:76.48,78.4 1 0
csvproject/handlers/table.go:80.2,83.16 3 0
csvproject/handlers/table.go:83.16,87.3 3 0
csvproject/handlers/table.go:88.2,92.18 3 0
csvproject/handlers/table.go:92.18,95.17 3 0
csvproject/handlers/table.go:95.17,99.4 3 0
csvproject/handlers/table.go:100.3,100.36 1 0
csvproject/handlers/table.go:104.2,105.22 2 0
csvproject/handlers/table.go:105.22,107.3 1 0
csvproject/handlers/table.go:108.2,108.22 1 0
csvproject/handlers/table.go:108.22,110.3 1 0
csvproject/handlers/table.go:111.2,111.17 1 0
csvproject/handlers/table.go:111.17,113.3 1 0
csvproject/handlers/table.go:114.2,114.14 1 0
csvproject/handlers/table.go:114.14,116.3 1 0
csvproject/handlers/table.go:117.2,117.18 1 0
csvproject/handlers/table.go:117.18,119.3 1 0
csvproject/handlers/table.go:121.2,123.16 3 0
csvproject/handlers/table.go:123.16,127.3 3 0
csvproject/handlers/table.go:129.2,214.33 4 0
csvproject/handlers/table.go:214.33,230.3 1 0
csvproject/handlers/table.go:233.2,239.17 2 0
csvproject/handlers/table.go:239.17,242.3 2 0
csvproject/handlers/table.go:243.2,243.26 1 0
csvproject/handlers/table.go:243.26,246.3 2 0
csvproject/handlers/table.go:248.2,253.4 1 0
csvproject/handlers/upload.go:85.3,86.24 1 1
csvproject/handlers/upload.go:86.24,89.3 2 0
csvproject/handlers/upload.go:91.2,95.16 4 1
csvproject/handlers/upload.go:95.16,98.3 2 0
csvproject/handlers/upload.go:99.2,101.40 2 1
csvproject/handlers/upload.go:101.40,104.3 2 0
csvproject/handlers/upload.go:106.2,114.12 7 1
csvproject/handlers/upload.go:114.12,118.3 3 1
csvproject/handlers/upload.go:120.2,120.40 1 1
csvproject/handlers/upload.go:120.40,122.25 2 1
csvproject/handlers/upload.go:122.25,125.4 2 1
csvproject/handlers/upload.go:128.2,130.50 3 1
csvproject/main.go:63.20,64.54 1 1
csvproject/main.go:64.54,66.3 1 1
csvproject/main.go:69.13,90.2 8 0
csvproject/utils/csv_utils.go:20.87,25.21 4 0
csvproject/utils/csv_utils.go:25.21,26.39 1 0
csvproject/utils/csv_utils.go:26.39,28.4 1 0
csvproject/utils/csv_utils.go:29.3,29.9 1 0
csvproject/utils/csv_utils.go:32.2,32.21 1 0
csvproject/utils/csv_utils.go:32.21,33.10 1 0
csvproject/utils/csv_utils.go:34.26,35.31 1 0
csvproject/utils/csv_utils.go:36.11,38.21 2 0
csvproject/utils/csv_utils.go:42.2,42.38 1 0
csvproject/utils/csv_utils.go:42.38,44.3 1 0
csvproject/utils/csv_utils.go:48.104,51.6 2 0
csvproject/utils/csv_utils.go:51.6,52.10 1 0
csvproject/utils/csv_utils.go:53.26,55.31 2 0
csvproject/utils/csv_utils.go:56.32,57.11 1 0
csvproject/utils/csv_utils.go:57.11,58.22 1 0
csvproject/utils/csv_utils.go:58.22,60.6 1 0
csvproject/utils/csv_utils.go:61.5,61.11 1 0
csvproject/utils/csv_utils.go:64.4,65.30 2 0
csvproject/utils/csv_utils.go:65.30,68.5 2 0
csvproject/utils/csv_utils.go:73.61,74.20 1 0
csvproject/utils/csv_utils.go:74.20,76.3 1 0
csvproject/utils/csv_utils.go:79.2,80.16 2 0
csvproject/utils/csv_utils.go:80.16,83.3 2 0
csvproject/utils/csv_utils.go:84.2,93.16 3 0
csvproject/utils/csv_utils.go:93.16,96.3 2 0
csvproject/utils/csv_utils.go:97.2,100.27 2 0
csvproject/utils/csv_utils.go:100.27,101.21 1 0
csvproject/utils/csv_utils.go:101.21,103.12 2 0
csvproject/utils/csv_utils.go:105.3,106.17 2 0
csvproject/utils/csv_utils.go:106.17,108.12 2 0
csvproject/utils/csv_utils.go:111.3,112.17 2 0
csvproject/utils/csv_utils.go:112.17,115.4 2 0
csvproject/utils/csv_utils.go:119.2,120.16 2 0
csvproject/utils/csv_utils.go:120.16,122.3 1 0
csvproject/utils/db_utils.go:10.41,12.2 1 0
csvproject/utils/db_utils.go:14.53,16.88 2 1
csvproject/utils/db_utils.go:16.88,31.3 1 0
csvproject/utils/db_utils.go:32.2,32.12 1 1
csvproject/utils/logger.go:13.13,19.23 3 1
csvproject/utils/logger.go:19.23,21.3 1 1
csvproject/utils/logger.go:24.2,25.47 2 1
csvproject/utils/logger.go:25.47,27.3 1 0
csvproject/utils/logger.go:30.2,31.16 2 1
csvproject/utils/logger.go:31.16,33.3 1 0
csvproject/utils/logger.go:36.2,44.4 3 1
csvproject/utils/logger.go:48.33,50.2 1 0
csvproject/utils/resource_monitor.go:15.79,16.6 1 1
csvproject/utils/resource_monitor.go:16.6,17.10 1 1
csvproject/utils/resource_monitor.go:18.22,19.10 1 0
csvproject/utils/resource_monitor.go:20.11,24.76 3 1
csvproject/utils/resource_monitor.go:24.76,26.5 1 0
csvproject/utils/resource_monitor.go:26.10,27.12 1 1
csvproject/utils/resource_monitor.go:28.28,28.28 0 0
csvproject/utils/resource_monitor.go:29.13,29.13 0 1
csvproject/utils/resource_monitor.go:33.4,33.32 1 1
